Study_Hours,Attendance,Math_Score,Archetype
12.59,95.2,88.44,Grinder
1.42,71.55,91.8,Slacker Genius
12.67,94.96,88.69,Grinder
12.67,95.22,89.19,Grinder
6.44,89.37,89.71,Efficient Strategist
1.31,70.78,92.91,Slacker Genius
6.5,89.91,90.28,Efficient Strategist
1.33,70.5,93.14,Slacker Genius
12.69,94.91,88.67,Grinder
6.54,91.16,91.18,Efficient Strategist
1.35,70.71,92.44,Slacker Genius
12.49,95.08,88.28,Grinder
1.36,70.16,92.02,Slacker Genius
1.33,70.15,92.75,Slacker Genius
6.4,89.47,89.83,Efficient Strategist
1.37,70.15,93.14,Slacker Genius
6.49,90.08,90.44,Efficient Strategist
12.7,94.9,88.68,Grinder
12.77,95.4,88.56,Grinder
6.32,89.29,90.4,Efficient Strategist
6.46,89.19,89.7,Efficient Strategist
6.21,89.59,89.74,Efficient Strategist
12.6,94.93,88.19,Grinder
12.55,94.71,87.76,Grinder
6.39,89.55,89.92,Efficient Strategist
12.64,94.6,88.17,Grinder
12.73,95.47,88.22,Grinder
1.41,70.73,92.49,Slacker Genius
12.71,95.42,88.95,Grinder
6.32,89.66,89.8,Efficient Strategist
6.41,90.08,90.36,Efficient Strategist
6.48,89.64,90.38,Efficient Strategist
1.38,70.76,92.3,Slacker Genius
12.74,94.94,88.35,Grinder
12.72,95.01,88.89,Grinder
12.58,94.62,88.54,Grinder
12.67,95.21,89.0,Grinder
1.37,71.34,92.18,Slacker Genius
12.68,94.76,88.6,Grinder
12.63,94.54,88.23,Grinder
12.72,94.88,88.75,Grinder
12.62,94.22,87.12,Grinder
6.46,89.63,89.83,Efficient Strategist
6.39,90.04,90.91,Efficient Strategist
6.36,89.09,90.13,Efficient Strategist
6.37,89.68,90.04,Efficient Strategist
6.36,89.23,90.63,Efficient Strategist
12.73,95.14,87.93,Grinder
6.46,89.86,89.94,Efficient Strategist
12.64,94.57,87.94,Grinder
12.7,95.04,88.52,Grinder
12.69,94.92,88.32,Grinder
6.45,90.08,90.07,Efficient Strategist
6.49,89.55,90.13,Efficient Strategist
6.46,90.11,89.8,Efficient Strategist
1.37,70.77,93.16,Slacker Genius
6.51,89.4,90.28,Efficient Strategist
12.63,93.7,87.94,Grinder
1.61,70.61,92.9,Slacker Genius
12.54,94.72,89.01,Grinder
12.68,95.32,88.52,Grinder
12.69,95.04,88.94,Grinder
6.43,90.01,90.49,Efficient Strategist
12.58,95.01,88.39,Grinder
12.55,94.73,87.96,Grinder
12.59,94.99,88.75,Grinder
1.18,69.53,92.12,Slacker Genius
6.37,89.09,90.0,Efficient Strategist
12.67,95.15,88.9,Grinder
12.6,94.77,88.15,Grinder
1.34,71.12,93.71,Slacker Genius
6.28,89.42,90.38,Efficient Strategist
12.71,94.93,87.96,Grinder
12.65,94.59,88.41,Grinder
12.55,95.33,88.72,Grinder
1.3,71.21,92.67,Slacker Genius
12.61,95.3,88.58,Grinder
6.27,89.6,90.29,Efficient Strategist
12.68,94.95,88.34,Grinder
12.71,95.41,87.74,Grinder
1.19,70.87,91.45,Slacker Genius
6.34,89.73,90.7,Efficient Strategist
6.36,90.09,90.29,Efficient Strategist
1.33,70.2,93.05,Slacker Genius
12.64,94.6,88.61,Grinder
12.54,93.95,89.28,Grinder
12.68,95.13,88.57,Grinder
12.69,94.94,88.5,Grinder
12.7,95.02,87.83,Grinder
1.25,69.52,93.19,Slacker Genius
12.6,94.74,88.94,Grinder
12.66,94.59,88.44,Grinder
1.29,70.21,92.61,Slacker Genius
12.58,94.93,88.73,Grinder
12.56,94.28,87.35,Grinder
6.35,88.99,90.0,Efficient Strategist
1.59,70.91,92.57,Slacker Genius
6.39,89.79,91.45,Efficient Strategist
12.6,95.11,88.62,Grinder
12.62,95.21,88.52,Grinder
