Study_Hours,Attendance,Math_Score,Archetype
11.01,90.12,53.53,Struggler
2.46,28.81,29.93,Disengaged
10.94,89.57,53.42,Struggler
2.38,28.88,30.5,Disengaged
2.38,29.03,30.05,Disengaged
2.46,29.66,30.4,Disengaged
12.38,94.02,88.27,Grinder
2.38,28.78,30.13,Disengaged
11.11,90.03,53.27,Struggler
2.55,28.31,30.26,Disengaged
11.07,89.92,53.2,Struggler
11.06,90.23,53.98,Struggler
2.44,28.37,29.68,Disengaged
11.08,90.29,53.38,Struggler
2.36,29.4,30.34,Disengaged
2.47,28.6,30.36,Disengaged
2.47,28.41,30.33,Disengaged
2.5,29.09,30.68,Disengaged
11.03,90.27,54.01,Struggler
11.21,91.49,54.53,Struggler
2.54,28.77,30.03,Disengaged
2.6,28.12,29.8,Disengaged
2.48,28.94,30.26,Disengaged
11.15,91.38,54.48,Struggler
2.53,28.94,29.77,Disengaged
11.06,89.79,53.85,Struggler
12.43,94.74,88.92,Grinder
11.06,90.46,54.25,Struggler
11.32,91.64,55.68,Struggler
11.1,90.81,54.79,Struggler
10.95,91.55,56.08,Struggler
2.5,28.83,30.74,Disengaged
12.61,94.44,88.61,Grinder
11.03,90.13,53.38,Struggler
11.2,91.46,55.22,Struggler
2.52,28.46,30.12,Disengaged
11.07,90.56,53.9,Struggler
10.98,89.59,53.63,Struggler
2.47,29.14,30.82,Disengaged
11.05,90.38,53.75,Struggler
2.47,29.36,30.96,Disengaged
11.07,90.09,53.9,Struggler
2.48,29.17,30.72,Disengaged
2.42,29.21,30.44,Disengaged
11.06,90.06,53.95,Struggler
2.46,29.02,30.82,Disengaged
2.59,28.32,30.1,Disengaged
2.51,28.72,30.3,Disengaged
2.49,29.6,30.83,Disengaged
2.37,29.01,30.52,Disengaged
12.7,97.94,90.3,Grinder
2.46,29.06,30.5,Disengaged
11.21,90.42,53.72,Struggler
2.53,28.49,30.19,Disengaged
2.44,29.22,30.93,Disengaged
11.08,90.18,53.04,Struggler
12.5,94.68,88.9,Grinder
11.24,90.46,53.51,Struggler
2.47,29.12,30.75,Disengaged
11.0,90.04,53.73,Struggler
2.5,28.76,30.65,Disengaged
12.43,94.57,88.93,Grinder
11.09,90.14,54.03,Struggler
2.43,28.07,30.15,Disengaged
11.01,89.84,53.69,Struggler
10.77,90.02,55.33,Struggler
11.32,91.39,56.63,Struggler
11.15,90.7,54.09,Struggler
11.07,90.72,54.33,Struggler
11.07,90.6,54.08,Struggler
11.04,89.69,54.12,Struggler
11.07,90.31,53.95,Struggler
11.14,90.02,53.34,Struggler
12.39,94.39,88.96,Grinder
2.37,28.65,30.4,Disengaged
2.41,28.17,30.14,Disengaged
11.09,90.1,53.63,Struggler
2.4,28.75,30.98,Disengaged
2.42,29.04,29.89,Disengaged
11.1,90.03,53.57,Struggler
11.09,90.25,53.66,Struggler
2.44,29.55,30.84,Disengaged
11.1,91.26,55.54,Struggler
11.11,90.0,53.75,Struggler
11.11,90.0,53.79,Struggler
2.46,29.73,30.78,Disengaged
11.13,90.26,54.26,Struggler
12.45,95.06,89.26,Grinder
12.51,93.53,87.78,Grinder
11.22,91.25,54.56,Struggler
11.14,90.55,53.69,Struggler
11.01,89.77,53.85,Struggler
11.14,90.74,54.58,Struggler
12.37,94.61,89.0,Grinder
11.31,90.96,53.98,Struggler
2.44,29.5,30.71,Disengaged
11.05,89.66,53.18,Struggler
11.06,90.74,54.55,Struggler
2.53,28.75,30.39,Disengaged
11.05,90.13,53.63,Struggler
