Study_Hours,Attendance,Math_Score,Archetype
12.62,95.02,88.21,Grinder
0.28,9.52,97.22,Cheater
12.62,95.5,88.79,Grinder
0.08,8.69,96.22,Cheater
2.51,31.03,29.47,Disengaged
0.21,8.62,96.99,Cheater
12.63,94.76,87.46,Grinder
0.0,9.16,96.87,Cheater
12.65,94.55,88.51,Grinder
2.44,30.87,29.76,Disengaged
12.63,94.42,88.99,Grinder
12.65,94.7,88.62,Grinder
2.57,30.82,29.64,Disengaged
12.68,95.0,87.98,Grinder
2.51,30.36,29.91,Disengaged
0.15,8.01,96.54,Cheater
0.36,8.55,96.7,Cheater
2.57,30.96,29.36,Disengaged
12.62,95.23,88.53,Grinder
12.53,93.75,86.97,Grinder
2.62,31.08,29.47,Disengaged
0.24,9.42,97.51,Cheater
0.5,8.66,97.01,Cheater
12.56,95.24,88.79,Grinder
0.53,9.58,97.58,Cheater
12.69,94.93,88.51,Grinder
12.68,95.17,87.83,Grinder
12.58,94.78,88.06,Grinder
12.63,94.7,88.62,Grinder
12.7,94.96,88.01,Grinder
12.63,95.16,88.39,Grinder
0.21,8.34,97.0,Cheater
12.72,95.02,88.77,Grinder
12.69,95.77,89.14,Grinder
12.52,94.81,87.8,Grinder
0.13,9.44,97.49,Cheater
12.74,95.09,88.77,Grinder
12.59,95.25,88.51,Grinder
2.47,30.74,29.68,Disengaged
12.65,94.5,88.3,Grinder
2.57,31.07,29.69,Disengaged
12.67,94.82,88.87,Grinder
0.07,8.68,96.49,Cheater
2.53,31.09,29.12,Disengaged
12.55,94.89,88.28,Grinder
0.24,8.31,96.5,Cheater
0.0,7.61,95.51,Cheater
0.25,8.82,97.53,Cheater
0.0,7.7,95.82,Cheater
2.57,30.85,30.17,Disengaged
12.52,94.8,88.32,Grinder
2.45,30.87,29.87,Disengaged
12.7,95.11,87.54,Grinder
2.54,30.63,29.81,Disengaged
2.69,31.19,29.73,Disengaged
12.71,94.82,88.46,Grinder
12.74,95.48,89.22,Grinder
12.6,95.17,88.66,Grinder
2.52,31.7,29.27,Disengaged
12.6,95.24,88.68,Grinder
0.26,8.62,97.3,Cheater
12.74,95.31,88.46,Grinder
12.64,95.16,88.51,Grinder
2.48,31.34,29.39,Disengaged
12.71,95.2,88.98,Grinder
12.58,94.97,88.24,Grinder
12.61,95.07,88.38,Grinder
12.71,94.73,87.97,Grinder
12.65,95.27,88.97,Grinder
12.52,94.09,87.25,Grinder
12.62,95.0,88.3,Grinder
12.6,94.68,88.61,Grinder
12.59,94.91,88.97,Grinder
12.56,94.79,89.04,Grinder
0.03,7.5,95.68,Cheater
2.35,30.11,29.76,Disengaged
12.53,94.8,88.24,Grinder
2.56,31.3,29.74,Disengaged
2.52,30.58,28.68,Disengaged
12.53,94.15,86.68,Grinder
12.57,95.25,88.6,Grinder
0.29,9.11,96.69,Cheater
12.63,94.87,89.47,Grinder
12.51,94.85,87.62,Grinder
12.52,94.1,88.81,Grinder
0.28,8.33,96.75,Cheater
12.57,94.3,87.91,Grinder
12.57,94.08,88.9,Grinder
12.67,94.24,87.56,Grinder
12.78,95.35,88.44,Grinder
12.66,94.51,88.11,Grinder
12.67,94.58,88.02,Grinder
12.59,94.69,88.25,Grinder
12.56,95.02,88.65,Grinder
12.65,95.02,88.26,Grinder
2.55,30.43,29.63,Disengaged
12.63,94.6,88.23,Grinder
12.64,95.36,88.91,Grinder
2.58,30.58,29.64,Disengaged
12.64,94.46,88.59,Grinder
